dataset,model,strategy,k,time
kaggle-credit-card-fraud,logreg,sum_0.5,4,2888.662332057953
kaggle-credit-card-fraud,logreg,sum_0.6,5,2888.662332057953
kaggle-credit-card-fraud,logreg,sum_0.7,8,2888.662332057953
kaggle-credit-card-fraud,logreg,sum_0.8,10,2888.662332057953
kaggle-credit-card-fraud,logreg,sum_0.9,15,2888.662332057953
kaggle-credit-card-fraud,logreg,sum_0.95,19,2888.662332057953
kaggle-credit-card-fraud,logreg,max_0.01,28,2888.662332057953
kaggle-credit-card-fraud,logreg,max_0.05,21,2888.662332057953
kaggle-credit-card-fraud,logreg,max_0.1,14,2888.662332057953
kaggle-credit-card-fraud,logreg,max_0.15,12,2888.662332057953
kaggle-credit-card-fraud,logreg,max_0.25,7,2888.662332057953
kaggle-credit-card-fraud,logreg,max_0.5,3,2888.662332057953
kaggle-credit-card-fraud,dt,sum_0.5,1,3228.3580741882324
kaggle-credit-card-fraud,dt,sum_0.6,2,3228.3580741882324
kaggle-credit-card-fraud,dt,sum_0.7,2,3228.3580741882324
kaggle-credit-card-fraud,dt,sum_0.8,3,3228.3580741882324
kaggle-credit-card-fraud,dt,sum_0.9,5,3228.3580741882324
kaggle-credit-card-fraud,dt,sum_0.95,5,3228.3580741882324
kaggle-credit-card-fraud,dt,max_0.01,10,3228.3580741882324
kaggle-credit-card-fraud,dt,max_0.05,6,3228.3580741882324
kaggle-credit-card-fraud,dt,max_0.1,6,3228.3580741882324
kaggle-credit-card-fraud,dt,max_0.15,6,3228.3580741882324
kaggle-credit-card-fraud,dt,max_0.25,5,3228.3580741882324
kaggle-credit-card-fraud,dt,max_0.5,3,3228.3580741882324
kaggle-credit-card-fraud,rf,sum_0.5,3,127716.2098801136
kaggle-credit-card-fraud,rf,sum_0.6,4,127716.2098801136
kaggle-credit-card-fraud,rf,sum_0.7,7,127716.2098801136
kaggle-credit-card-fraud,rf,sum_0.8,10,127716.2098801136
kaggle-credit-card-fraud,rf,sum_0.9,17,127716.2098801136
kaggle-credit-card-fraud,rf,sum_0.95,22,127716.2098801136
kaggle-credit-card-fraud,rf,max_0.01,30,127716.2098801136
kaggle-credit-card-fraud,rf,max_0.05,15,127716.2098801136
kaggle-credit-card-fraud,rf,max_0.1,9,127716.2098801136
kaggle-credit-card-fraud,rf,max_0.15,7,127716.2098801136
kaggle-credit-card-fraud,rf,max_0.25,4,127716.2098801136
kaggle-credit-card-fraud,rf,max_0.5,1,127716.2098801136
kaggle-credit-card-fraud,xgb,sum_0.5,4,40105.31097435951
