Dataset,Decision Tree,Logistic Regression,Random Forest,Support Vector Machine,XGBoost
Android Permissions,max_depth = None<br>min_samples_split = 2<br>min_samples_leaf = 20,solver = saga<br>penalty = l2<br>C = 10,n_estimators = 600<br>max_depth = None<br>min_samples_split = 2<br>min_samples_leaf = 1,kernel = linear<br>C = 0.1,n_estimators = 200<br>max_depth = 5<br>min_child_weight = 1<br>subsample = 0.9<br>colsample_bytree = 0.7
Breast Cancer,max_depth = 5<br>min_samples_split = 2<br>min_samples_leaf = 10,solver = saga<br>penalty = l1<br>C = 10,n_estimators = 100<br>max_depth = 5<br>min_samples_split = 2<br>min_samples_leaf = 1,kernel = rbf<br>C = 10<br>gamma = 0.01,n_estimators = 400<br>max_depth = 5<br>min_child_weight = 1<br>subsample = 0.7<br>colsample_bytree = 0.8
Credit Card Fraud,max_depth = 9<br>min_samples_split = 2<br>min_samples_leaf = 10,solver = saga<br>penalty = l1<br>C = 100,n_estimators = 400<br>max_depth = None<br>min_samples_split = 2<br>min_samples_leaf = 1,kernel = linear<br>C = 10,n_estimators = 400<br>max_depth = 4<br>min_child_weight = 5<br>subsample = 0.8<br>colsample_bytree = 0.8
Heart Disease,max_depth = 3<br>min_samples_split = 2<br>min_samples_leaf = 10,solver = saga<br>penalty = l2<br>C = 0.1,n_estimators = 100<br>max_depth = 5<br>min_samples_split = 6<br>min_samples_leaf = 1,kernel = rbf<br>C = 1<br>gamma = 0.01,n_estimators = 100<br>max_depth = 3<br>min_child_weight = 5<br>subsample = 0.7<br>colsample_bytree = 0.8
Indian Liver,max_depth = None<br>min_samples_split = 2<br>min_samples_leaf = 20,solver = saga<br>penalty = l2<br>C = 1,n_estimators = 600<br>max_depth = 5<br>min_samples_split = 2<br>min_samples_leaf = 10,kernel = rbf<br>C = 100<br>gamma = 0.01,n_estimators = 100<br>max_depth = 4<br>min_child_weight = 1<br>subsample = 1<br>colsample_bytree = 0.8
Mushroom,max_depth = None<br>min_samples_split = 2<br>min_samples_leaf = 10,solver = saga<br>penalty = l1<br>C = 1,n_estimators = 100<br>max_depth = None<br>min_samples_split = 2<br>min_samples_leaf = 1,kernel = linear<br>C = 1000,n_estimators = 100<br>max_depth = 3<br>min_child_weight = 1<br>subsample = 0.7<br>colsample_bytree = 0.7
Patient Survival,max_depth = 7<br>min_samples_split = 2<br>min_samples_leaf = 20,solver = saga<br>penalty = l1<br>C = 1,n_estimators = 400<br>max_depth = None<br>min_samples_split = 6<br>min_samples_leaf = 1,kernel = linear<br>C = 1000,n_estimators = 400<br>max_depth = 3<br>min_child_weight = 3<br>subsample = 1<br>colsample_bytree = 1
Phishing URL,max_depth = None<br>min_samples_split = 2<br>min_samples_leaf = 1,solver = lbfgs<br>penalty = l2<br>C = 0.1,n_estimators = 400<br>max_depth = None<br>min_samples_split = 2<br>min_samples_leaf = 1,kernel = linear<br>C = 0.01,n_estimators = 400<br>max_depth = 4<br>min_child_weight = 1<br>subsample = 1<br>colsample_bytree = 0.8
SPECT Heart,max_depth = None<br>min_samples_split = 2<br>min_samples_leaf = 1,solver = saga<br>penalty = l2<br>C = 100.0,n_estimators = 100<br>max_depth = 5<br>min_samples_split = 10<br>min_samples_leaf = 1,kernel = rbf<br>C = 100<br>gamma = 0.1,n_estimators = 100<br>max_depth = 3<br>min_child_weight = 3<br>subsample = 0.7<br>colsample_bytree = 0.7
Secondary Mushroom,max_depth = None<br>min_samples_split = 2<br>min_samples_leaf = 10,solver = saga<br>penalty = l1<br>C = 1,n_estimators = 200<br>max_depth = None<br>min_samples_split = 2<br>min_samples_leaf = 1,kernel = linear<br>C = 1000,n_estimators = 400<br>max_depth = 5<br>min_child_weight = 1<br>subsample = 0.7<br>colsample_bytree = 0.7
