dataset,strategy,k,time
kaggle-credit-card-fraud,mutual_info,2,25.733280420303345
kaggle-credit-card-fraud,mutual_info,3,25.733280420303345
kaggle-credit-card-fraud,mutual_info,5,25.733280420303345
kaggle-credit-card-fraud,mutual_info,6,25.733280420303345
kaggle-credit-card-fraud,relieff,2,1735.2938451766968
kaggle-credit-card-fraud,relieff,3,1735.2938451766968
kaggle-credit-card-fraud,relieff,5,1735.2938451766968
kaggle-credit-card-fraud,relieff,6,1735.2938451766968
kaggle-credit-card-fraud,mrmr,2,481.2132921218872
kaggle-credit-card-fraud,mrmr,3,481.2132921218872
kaggle-credit-card-fraud,mrmr,5,481.2132921218872
kaggle-credit-card-fraud,mrmr,6,481.2132921218872
kaggle-credit-card-fraud,fcbf,1,12.339939832687378
kaggle-patient-survival,mutual_info,6,20.49563217163086
kaggle-patient-survival,mutual_info,11,20.49563217163086
kaggle-patient-survival,mutual_info,17,20.49563217163086
kaggle-patient-survival,mutual_info,22,20.49563217163086
kaggle-patient-survival,relieff,6,487.982453584671
kaggle-patient-survival,relieff,11,487.982453584671
kaggle-patient-survival,relieff,17,487.982453584671
kaggle-patient-survival,relieff,22,487.982453584671
kaggle-patient-survival,mrmr,6,1586.8321025371552
kaggle-patient-survival,mrmr,11,1586.8321025371552
kaggle-patient-survival,mrmr,17,1586.8321025371552
kaggle-patient-survival,mrmr,22,1586.8321025371552
kaggle-patient-survival,fcbf,8,2.138460397720337
uci-android-permissions,mutual_info,5,4.807177782058716
uci-android-permissions,mutual_info,9,4.807177782058716
uci-android-permissions,mutual_info,13,4.807177782058716
uci-android-permissions,mutual_info,18,4.807177782058716
uci-android-permissions,relieff,5,45.73556065559387
uci-android-permissions,relieff,9,45.73556065559387
uci-android-permissions,relieff,13,45.73556065559387
uci-android-permissions,relieff,18,45.73556065559387
uci-android-permissions,mrmr,5,266.0000240802765
uci-android-permissions,mrmr,9,266.0000240802765
uci-android-permissions,mrmr,13,266.0000240802765
uci-android-permissions,mrmr,18,266.0000240802765
uci-android-permissions,fcbf,9,0.945063591003418
uci-breast-cancer,mutual_info,2,0.04714155197143555
uci-breast-cancer,mutual_info,3,0.04714155197143555
uci-breast-cancer,mutual_info,5,0.04714155197143555
uci-breast-cancer,mutual_info,6,0.04714155197143555
uci-breast-cancer,relieff,2,0.03151845932006836
uci-breast-cancer,relieff,3,0.03151845932006836
uci-breast-cancer,relieff,5,0.03151845932006836
uci-breast-cancer,relieff,6,0.03151845932006836
uci-breast-cancer,mrmr,2,0.8484106063842773
uci-breast-cancer,mrmr,3,0.8484106063842773
uci-breast-cancer,mrmr,5,0.8484106063842773
uci-breast-cancer,mrmr,6,0.8484106063842773
uci-breast-cancer,fcbf,1,0.19164776802062988
uci-heart-disease,mutual_info,2,0.031282901763916016
uci-heart-disease,mutual_info,3,0.031282901763916016
uci-heart-disease,mutual_info,4,0.031282901763916016
uci-heart-disease,mutual_info,5,0.031282901763916016
uci-heart-disease,relieff,2,0.015170574188232422
uci-heart-disease,relieff,3,0.015170574188232422
uci-heart-disease,relieff,4,0.015170574188232422
uci-heart-disease,relieff,5,0.015170574188232422
uci-heart-disease,mrmr,2,0.3751678466796875
uci-heart-disease,mrmr,3,0.3751678466796875
uci-heart-disease,mrmr,4,0.3751678466796875
uci-heart-disease,mrmr,5,0.3751678466796875
uci-heart-disease,fcbf,4,0.17795014381408691
uci-indian-liver,mutual_info,1,0.016701459884643555
uci-indian-liver,mutual_info,1,0.016701459884643555
uci-indian-liver,mutual_info,2,0.016701459884643555
uci-indian-liver,mutual_info,2,0.016701459884643555
uci-indian-liver,relieff,1,0.027376413345336914
uci-indian-liver,relieff,1,0.027376413345336914
uci-indian-liver,relieff,2,0.027376413345336914
uci-indian-liver,relieff,2,0.027376413345336914
uci-indian-liver,mrmr,1,0.09953522682189941
uci-indian-liver,mrmr,1,0.09953522682189941
uci-indian-liver,mrmr,2,0.09953522682189941
uci-indian-liver,mrmr,2,0.09953522682189941
uci-indian-liver,fcbf,1,0.054342031478881836
uci-mushroom,mutual_info,5,1.4064524173736572
uci-mushroom,mutual_info,10,1.4064524173736572
uci-mushroom,mutual_info,15,1.4064524173736572
uci-mushroom,mutual_info,20,1.4064524173736572
uci-mushroom,relieff,5,3.6912121772766113
uci-mushroom,relieff,10,3.6912121772766113
uci-mushroom,relieff,15,3.6912121772766113
