dataset,model,selection_type,k,pr_auc_cv,pr_auc_test,pr_auc_diff,pr_auc_diff_percent,k_percent,pr_auc_test_percent
kaggle_credit_card_fraud,logreg,shap,14,0.7628942718760343,0.6941923050339504,0.06870196684208396,0.09896676518003755,46.666666666666664,99.81440399726877
kaggle_credit_card_fraud,logreg,mrmr,7,0.6219235915536752,0.5614148377250885,0.06050875382858667,0.10777904280865545,23.333333333333332,80.72300285727381
kaggle_credit_card_fraud,logreg,mutual_info,21,0.7622166728392272,0.6982821004526563,0.06393457238657096,0.09155980418963316,70.0,100.40245501602634
kaggle_credit_card_fraud,logreg,relieff,14,0.613372790598393,0.5329682613132563,0.08040452928513675,0.15086175879782524,46.666666666666664,76.63281336695536
kaggle_credit_card_fraud,dt,shap,3,0.8535914735208359,0.7090816611399599,0.144509812380876,0.20379854719208765,10.0,92.89934861468066
kaggle_credit_card_fraud,dt,mrmr,6,0.7924275383848504,0.6570240647864287,0.13540347359842164,0.20608601854246494,20.0,86.0790949588264
kaggle_credit_card_fraud,dt,mutual_info,3,0.8536026168883211,0.708939771888777,0.14466284499954407,0.20405519726186233,10.0,92.88075919158217
kaggle_credit_card_fraud,dt,relieff,10,0.5003799242333967,0.2278430803375758,0.2725368438958209,1.1961602849295494,33.333333333333336,29.850544598339667
kaggle_credit_card_fraud,rf,mrmr,15,1.0,0.7730919247959578,0.22690807520404221,0.2935072375305564,50.0,96.60540565041299
kaggle_credit_card_fraud,rf,shap,15,1.0,0.8031966890318174,0.1968033109681826,0.2450250525875693,50.0,100.36729070927302
kaggle_credit_card_fraud,rf,mutual_info,15,1.0,0.8037377044810847,0.19626229551891528,0.24418699586282025,50.0,100.43489588695407
kaggle_credit_card_fraud,rf,relieff,30,1.0,0.7943052816440553,0.20569471835594466,0.2589617910259858,100.0,99.25622229690467
kaggle_credit_card_fraud,xgb,mrmr,30,1.0,0.8313490003912137,0.16865099960878627,0.20286425981076897,100.0,101.14700150882128
kaggle_credit_card_fraud,xgb,mutual_info,30,1.0,0.8295479990397173,0.17045200096028268,0.20547575445615865,100.0,100.92788067469328
kaggle_credit_card_fraud,xgb,relieff,30,1.0,0.8243186996493965,0.17568130035060348,0.21312303169311234,100.0,100.29165214362635
kaggle_credit_card_fraud,xgb,shap,21,1.0,0.8321163348726776,0.16788366512732245,0.20175504084174767,70.0,101.24036011263011
kaggle_credit_card_fraud,svc,shap,12,0.7615907878191625,0.703821290273189,0.05776949754597349,0.08207978125178651,40.0,98.42992344013443
kaggle_credit_card_fraud,svc,mrmr,13,0.6678635641025741,0.6374322958112343,0.030431268291339797,0.0477403929661442,43.333333333333336,89.14537389259051
kaggle_credit_card_fraud,svc,mutual_info,30,0.7694342805208962,0.7150480927695292,0.054386187751367054,0.0760594822940064,100.0,99.99999999999999
kaggle_credit_card_fraud,svc,relieff,9,0.0238413614935484,0.0176034374388486,0.006237924054699799,0.35435829373491995,30.0,2.461853631504259
kaggle_patient_survival,logreg,mrmr,21,0.4410016072346751,0.4579538986535951,-0.016952291418920018,-0.03701746282488371,19.444444444444443,91.38301593698921
kaggle_patient_survival,logreg,shap,77,0.4912624390753062,0.5013813175228673,-0.010118878447561097,-0.020182001390786942,71.29629629629629,100.04879762877229
kaggle_patient_survival,logreg,mutual_info,68,0.4828836543610957,0.4952842319978956,-0.012400577636799914,-0.02503729542686633,62.96296296296296,98.83214663980642
kaggle_patient_survival,logreg,relieff,92,0.4771966405210113,0.4877433692175475,-0.010546728696536223,-0.02162352040470709,85.18518518518519,97.32739521032585
kaggle_patient_survival,dt,mrmr,13,0.4906257182698109,0.4617777680411309,0.028847950228679975,0.06247150084997263,12.037037037037036,98.5159093533595
kaggle_patient_survival,dt,relieff,24,0.1326397344128972,0.1269972298116089,0.00564250460128829,0.044430139221607684,22.22222222222222,27.093655100203613
kaggle_patient_survival,dt,mutual_info,8,0.4740361413495256,0.4549626532574061,0.019073488092119506,0.04192319513603729,7.407407407407407,97.06196921866169
kaggle_patient_survival,dt,shap,8,0.4935585557713769,0.4829246314225418,0.010633924348835144,0.02201984255288656,7.407407407407407,103.02739219244972
kaggle_patient_survival,rf,mrmr,61,0.9988844575677334,0.5456859579137834,0.45319849965395,0.8305115663715757,56.48148148148148,99.75209592188648
kaggle_patient_survival,rf,mutual_info,62,0.9998533905752276,0.5477560120015555,0.45209737857367205,0.8253626955579415,57.407407407407405,100.13050447525367
kaggle_patient_survival,rf,relieff,85,0.9995982262111516,0.5278150803730552,0.47178314583809633,0.8938417324200817,78.70370370370371,96.48527649067684
kaggle_patient_survival,rf,shap,38,0.9998247472433294,0.5474585640911641,0.45236618315216526,0.8263021401503479,35.18518518518518,100.07613061413662
kaggle_patient_survival,xgb,shap,71,0.772475783307218,0.5587356663816281,0.21374011692558992,0.38254246110646706,65.74074074074075,99.71470314066138
kaggle_patient_survival,xgb,mrmr,71,0.7212955132775631,0.5552190672236839,0.16607644605387928,0.29911877285542005,65.74074074074075,99.08711363421381
kaggle_patient_survival,xgb,mutual_info,71,0.7642484665863214,0.5582184954074962,0.20602997117882516,0.36908481691998485,65.74074074074075,99.62240627604115
kaggle_patient_survival,xgb,relieff,66,0.6691159152128362,0.5187831127539044,0.15033280245893177,0.2897796762521938,61.111111111111114,92.58457477334366
